lib,sample_rate,dtype,duration,channels,n_samples,file_size_bytes,load_mean_ms,load_median_ms,load_std_ms,load_min_ms,load_p90_ms,save_mean_ms,save_median_ms,save_std_ms,save_min_ms,save_p90_ms,error
audio_samples,16000,i16,60.0,2,960000,3840000,0.1333,0.1236,0.0391,0.1208,0.1398,0.1629,0.1564,0.0333,0.1547,0.1661,
librosa,16000,i16,60.0,2,960000,3840000,0.1510,0.1400,0.0452,0.1358,0.1602,0.1982,0.1840,0.0678,0.1750,0.2064,
wave,16000,i16,60.0,2,960000,3840000,0.2468,0.2338,0.0454,0.2280,0.2719,0.1739,0.1650,0.0362,0.1629,0.1810,
scipy,16000,i16,60.0,2,960000,3840000,0.2055,0.1852,0.0624,0.1817,0.2350,0.1784,0.1681,0.0419,0.1641,0.1884,
torchaudio,16000,i16,60.0,2,960000,3840000,6.4263,6.3217,0.4612,5.9188,6.7865,2.7172,2.4577,0.3946,2.3815,3.1598,
audio_samples,16000,f32,1.0,1,16000,64000,0.0068,0.0061,0.0053,0.0059,0.0064,0.0053,0.0048,0.0040,0.0046,0.0055,
librosa,16000,f32,1.0,1,16000,64000,0.0233,0.0211,0.0155,0.0199,0.0239,0.0652,0.0632,0.0129,0.0622,0.0654,
wave,16000,f32,1.0,1,16000,64000,,,,,,,,,,,wave does not support f32
scipy,16000,f32,1.0,1,16000,64000,0.0108,0.0098,0.0073,0.0093,0.0109,0.0109,0.0096,0.0092,0.0093,0.0102,
torchaudio,16000,f32,1.0,1,16000,64000,0.1443,0.1315,0.0462,0.1231,0.1653,0.0411,0.0386,0.0157,0.0382,0.0400,
audio_samples,16000,f32,1.0,2,16000,128000,0.0085,0.0074,0.0061,0.0071,0.0093,0.0081,0.0070,0.0049,0.0069,0.0087,
librosa,16000,f32,1.0,2,16000,128000,0.0256,0.0230,0.0129,0.0213,0.0307,0.1168,0.1125,0.0199,0.1109,0.1173,
wave,16000,f32,1.0,2,16000,128000,,,,,,,,,,,wave does not support f32
scipy,16000,f32,1.0,2,16000,128000,0.0139,0.0122,0.0082,0.0118,0.0158,0.0149,0.0122,0.0109,0.0116,0.0163,
torchaudio,16000,f32,1.0,2,16000,128000,0.1503,0.1445,0.0334,0.1383,0.1560,0.0502,0.0471,0.0183,0.0439,0.0531,
audio_samples,16000,f32,5.0,1,80000,320000,0.0120,0.0109,0.0078,0.0105,0.0115,0.0155,0.0143,0.0056,0.0141,0.0174,
librosa,16000,f32,5.0,1,80000,320000,0.0286,0.0264,0.0166,0.0249,0.0291,0.2658,0.2611,0.0202,0.2577,0.2681,
wave,16000,f32,5.0,1,80000,320000,,,,,,,,,,,wave does not support f32
scipy,16000,f32,5.0,1,80000,320000,0.0202,0.0187,0.0112,0.0182,0.0201,0.0211,0.0194,0.0117,0.0188,0.0209,
torchaudio,16000,f32,5.0,1,80000,320000,0.3117,0.3010,0.0420,0.2830,0.3374,0.1403,0.1376,0.0179,0.1355,0.1411,
audio_samples,16000,f32,5.0,2,80000,640000,0.0181,0.0168,0.0090,0.0165,0.0177,0.0258,0.0243,0.0085,0.0239,0.0264,
librosa,16000,f32,5.0,2,80000,640000,0.0357,0.0329,0.0184,0.0315,0.0357,0.5258,0.5157,0.0348,0.5066,0.5435,
wave,16000,f32,5.0,2,80000,640000,,,,,,,,,,,wave does not support f32
scipy,16000,f32,5.0,2,80000,640000,0.0376,0.0350,0.0139,0.0341,0.0395,0.0337,0.0313,0.0141,0.0298,0.0354,
torchaudio,16000,f32,5.0,2,80000,640000,0.4086,0.3607,0.1281,0.3425,0.4643,0.1909,0.1768,0.0385,0.1693,0.2111,
audio_samples,16000,f32,10.0,1,160000,640000,0.0185,0.0168,0.0098,0.0161,0.0207,0.0267,0.0244,0.0097,0.0240,0.0296,
librosa,16000,f32,10.0,1,160000,640000,0.0380,0.0350,0.0181,0.0327,0.0394,0.5121,0.5069,0.0249,0.4329,0.5240,
